date,close,eps,revenue,symbol
10/19/2018 16:00,15.02,3.88,760,CSIQ
10/22/2018 16:00,13.94,3.88,760,CSIQ
10/23/2018 16:00,13.64,3.88,760,CSIQ
10/24/2018 16:00,13.1,3.88,760,CSIQ
10/25/2018 16:00,13.08,3.88,760,CSIQ
10/26/2018 16:00,13,3.88,760,CSIQ
10/29/2018 16:00,13.14,3.88,760,CSIQ
10/30/2018 16:00,13.96,3.88,760,CSIQ
10/31/2018 16:00,14.3,3.88,760,CSIQ
11/1/2018 16:00,14.53,3.88,760,CSIQ
11/2/2018 16:00,14.6,3.88,760,CSIQ
11/5/2018 16:00,14.16,3.88,760,CSIQ
11/6/2018 16:00,13.78,3.88,760,CSIQ
11/7/2018 16:00,14.61,3.88,760,CSIQ
11/8/2018 16:00,14.32,3.88,760,CSIQ
11/9/2018 16:00,14.27,3.88,760,CSIQ
11/12/2018 16:00,13.86,3.88,760,CSIQ
11/13/2018 16:00,13.4,3.88,760,CSIQ
11/14/2018 16:00,13.71,3.88,760,CSIQ
11/15/2018 16:00,15.23,3.88,760,CSIQ
11/16/2018 16:00,16,3.88,760,CSIQ
11/19/2018 16:00,16.32,3.88,760,CSIQ
11/20/2018 16:00,16.18,3.88,760,CSIQ
11/21/2018 16:00,16.5,3.88,760,CSIQ
11/23/2018 13:00,16.55,3.88,760,CSIQ
11/26/2018 16:00,16.69,3.88,760,CSIQ
11/27/2018 16:00,17.52,3.88,760,CSIQ
11/28/2018 16:00,17.75,3.88,760,CSIQ
11/29/2018 16:00,17.27,3.88,760,CSIQ
11/30/2018 16:00,16.9,3.88,760,CSIQ
12/3/2018 16:00,17.31,3.88,760,CSIQ
12/4/2018 16:00,16.49,3.88,760,CSIQ
12/6/2018 16:00,16.47,3.88,760,CSIQ
12/7/2018 16:00,16.27,3.88,760,CSIQ
12/10/2018 16:00,16.42,3.88,760,CSIQ
12/11/2018 16:00,16.08,3.88,760,CSIQ
12/12/2018 16:00,16.81,3.88,760,CSIQ
12/13/2018 16:00,16.85,3.88,760,CSIQ
12/14/2018 16:00,16.66,3.88,760,CSIQ
12/17/2018 16:00,16.01,3.88,760,CSIQ
12/18/2018 16:00,16.47,3.88,760,CSIQ
12/19/2018 16:00,16.1,3.88,760,CSIQ
12/20/2018 16:00,15.38,3.88,760,CSIQ
12/21/2018 16:00,14.32,3.88,760,CSIQ
12/24/2018 13:00,13.92,3.88,760,CSIQ
12/26/2018 16:00,14.43,3.88,760,CSIQ
12/27/2018 16:00,14.42,3.88,760,CSIQ
12/28/2018 16:00,14.46,3.88,760,CSIQ
12/31/2018 16:00,14.34,3.88,760,CSIQ
1/2/2019 16:00,14.44,2.83,484.7,CSIQ
1/3/2019 16:00,15.14,2.83,484.7,CSIQ
1/4/2019 16:00,16.37,2.83,484.7,CSIQ
1/7/2019 16:00,16.8,2.83,484.7,CSIQ
1/8/2019 16:00,17.13,2.83,484.7,CSIQ
1/9/2019 16:00,17.21,2.83,484.7,CSIQ
1/10/2019 16:00,17.62,2.83,484.7,CSIQ
1/11/2019 16:00,17.66,2.83,484.7,CSIQ
1/14/2019 16:00,17.7,2.83,484.7,CSIQ
1/15/2019 16:00,18.12,2.83,484.7,CSIQ
1/16/2019 16:00,18.17,2.83,484.7,CSIQ
1/17/2019 16:00,18.18,2.83,484.7,CSIQ
1/18/2019 16:00,18.03,2.83,484.7,CSIQ
1/22/2019 16:00,17.28,2.83,484.7,CSIQ
1/23/2019 16:00,17.34,2.83,484.7,CSIQ
1/24/2019 16:00,18.14,2.83,484.7,CSIQ
1/25/2019 16:00,19.51,2.83,484.7,CSIQ
1/28/2019 16:00,20.53,2.83,484.7,CSIQ
1/29/2019 16:00,20.58,2.83,484.7,CSIQ
1/30/2019 16:00,20.89,2.83,484.7,CSIQ
1/31/2019 16:00,21.57,2.83,484.7,CSIQ
2/1/2019 16:00,19.76,2.83,484.7,CSIQ
2/4/2019 16:00,19.97,2.83,484.7,CSIQ
2/5/2019 16:00,19.79,2.83,484.7,CSIQ
2/6/2019 16:00,20.95,2.83,484.7,CSIQ
2/7/2019 16:00,20.53,2.83,484.7,CSIQ
2/8/2019 16:00,20.57,2.83,484.7,CSIQ
2/11/2019 16:00,21.33,2.83,484.7,CSIQ
2/12/2019 16:00,21.33,2.83,484.7,CSIQ
2/13/2019 16:00,21.11,2.83,484.7,CSIQ
2/14/2019 16:00,21.14,2.83,484.7,CSIQ
2/15/2019 16:00,20.54,2.83,484.7,CSIQ
2/19/2019 16:00,22.3,2.83,484.7,CSIQ
2/20/2019 16:00,21.55,2.83,484.7,CSIQ
2/21/2019 16:00,22.18,2.83,484.7,CSIQ
2/22/2019 16:00,24.32,2.83,484.7,CSIQ
2/25/2019 16:00,23.6,2.83,484.7,CSIQ
2/26/2019 16:00,23.85,2.83,484.7,CSIQ
2/27/2019 16:00,24.19,2.83,484.7,CSIQ
2/28/2019 16:00,24.66,2.83,484.7,CSIQ
3/1/2019 16:00,24.99,2.83,484.7,CSIQ
3/4/2019 16:00,24.43,2.83,484.7,CSIQ
3/5/2019 16:00,24.21,2.83,484.7,CSIQ
3/6/2019 16:00,23.55,2.83,484.7,CSIQ
